Statistic,Month,Taxation Class,UNIT,VALUE
Vehicles Licensed for the First Time,2013M12,New Private Cars,Number,639
Vehicles Licensed for the First Time,2014M01,New Private Cars,Number,15975
Vehicles Licensed for the First Time,2014M02,New Private Cars,Number,11906
Vehicles Licensed for the First Time,2014M03,New Private Cars,Number,11485
Vehicles Licensed for the First Time,2014M04,New Private Cars,Number,11757
Vehicles Licensed for the First Time,2014M05,New Private Cars,Number,7767
Vehicles Licensed for the First Time,2014M06,New Private Cars,Number,3390
Vehicles Licensed for the First Time,2014M07,New Private Cars,Number,14037
Vehicles Licensed for the First Time,2014M08,New Private Cars,Number,6201
Vehicles Licensed for the First Time,2014M09,New Private Cars,Number,4376
Vehicles Licensed for the First Time,2014M10,New Private Cars,Number,3082
Vehicles Licensed for the First Time,2014M11,New Private Cars,Number,1465
Vehicles Licensed for the First Time,2014M12,New Private Cars,Number,920
Vehicles Licensed for the First Time,2015M01,New Private Cars,Number,20105
Vehicles Licensed for the First Time,2015M02,New Private Cars,Number,15384
Vehicles Licensed for the First Time,2015M03,New Private Cars,Number,17054
Vehicles Licensed for the First Time,2015M04,New Private Cars,Number,13166
Vehicles Licensed for the First Time,2015M05,New Private Cars,Number,9027
Vehicles Licensed for the First Time,2015M06,New Private Cars,Number,3924
Vehicles Licensed for the First Time,2015M07,New Private Cars,Number,21290
Vehicles Licensed for the First Time,2015M08,New Private Cars,Number,8572
Vehicles Licensed for the First Time,2015M09,New Private Cars,Number,5924
Vehicles Licensed for the First Time,2015M10,New Private Cars,Number,3943
Vehicles Licensed for the First Time,2015M11,New Private Cars,Number,1874
Vehicles Licensed for the First Time,2015M12,New Private Cars,Number,847
Vehicles Licensed for the First Time,2016M01,New Private Cars,Number,27106
Vehicles Licensed for the First Time,2016M02,New Private Cars,Number,21173
Vehicles Licensed for the First Time,2016M03,New Private Cars,Number,20096
Vehicles Licensed for the First Time,2016M04,New Private Cars,Number,14847
Vehicles Licensed for the First Time,2016M05,New Private Cars,Number,10125
Vehicles Licensed for the First Time,2016M06,New Private Cars,Number,4143
Vehicles Licensed for the First Time,2016M07,New Private Cars,Number,22462
Vehicles Licensed for the First Time,2016M08,New Private Cars,Number,9781
Vehicles Licensed for the First Time,2016M09,New Private Cars,Number,5842
Vehicles Licensed for the First Time,2016M10,New Private Cars,Number,3831
Vehicles Licensed for the First Time,2016M11,New Private Cars,Number,1846
Vehicles Licensed for the First Time,2016M12,New Private Cars,Number,679
Vehicles Licensed for the First Time,2017M01,New Private Cars,Number,26668
Vehicles Licensed for the First Time,2017M02,New Private Cars,Number,16905
Vehicles Licensed for the First Time,2017M03,New Private Cars,Number,17180
Vehicles Licensed for the First Time,2017M04,New Private Cars,Number,13427
Vehicles Licensed for the First Time,2017M05,New Private Cars,Number,9581
Vehicles Licensed for the First Time,2017M06,New Private Cars,Number,3585
Vehicles Licensed for the First Time,2017M07,New Private Cars,Number,21316
Vehicles Licensed for the First Time,2017M08,New Private Cars,Number,8105
Vehicles Licensed for the First Time,2017M09,New Private Cars,Number,4828
Vehicles Licensed for the First Time,2017M10,New Private Cars,Number,3255
Vehicles Licensed for the First Time,2017M11,New Private Cars,Number,1594
Vehicles Licensed for the First Time,2017M12,New Private Cars,Number,601
Vehicles Licensed for the First Time,2018M01,New Private Cars,Number,25813
Vehicles Licensed for the First Time,2018M02,New Private Cars,Number,16501
Vehicles Licensed for the First Time,2018M03,New Private Cars,Number,16088
Vehicles Licensed for the First Time,2018M04,New Private Cars,Number,11557
Vehicles Licensed for the First Time,2018M05,New Private Cars,Number,9362
Vehicles Licensed for the First Time,2018M06,New Private Cars,Number,3716
Vehicles Licensed for the First Time,2018M07,New Private Cars,Number,20743
Vehicles Licensed for the First Time,2018M08,New Private Cars,Number,7681
Vehicles Licensed for the First Time,2018M09,New Private Cars,Number,4397
Vehicles Licensed for the First Time,2018M10,New Private Cars,Number,2874
Vehicles Licensed for the First Time,2018M11,New Private Cars,Number,1647
Vehicles Licensed for the First Time,2018M12,New Private Cars,Number,778
Vehicles Licensed for the First Time,2019M01,New Private Cars,Number,22279
Vehicles Licensed for the First Time,2019M02,New Private Cars,Number,14178
Vehicles Licensed for the First Time,2019M03,New Private Cars,Number,14404
Vehicles Licensed for the First Time,2019M04,New Private Cars,Number,13794
Vehicles Licensed for the First Time,2019M05,New Private Cars,Number,9126
Vehicles Licensed for the First Time,2019M06,New Private Cars,Number,3858
Vehicles Licensed for the First Time,2019M07,New Private Cars,Number,18741
Vehicles Licensed for the First Time,2019M08,New Private Cars,Number,7202
Vehicles Licensed for the First Time,2019M09,New Private Cars,Number,4104
Vehicles Licensed for the First Time,2019M10,New Private Cars,Number,3214
Vehicles Licensed for the First Time,2019M11,New Private Cars,Number,1676
Vehicles Licensed for the First Time,2019M12,New Private Cars,Number,729
Vehicles Licensed for the First Time,2020M01,New Private Cars,Number,20665
Vehicles Licensed for the First Time,2020M02,New Private Cars,Number,13263
Vehicles Licensed for the First Time,2020M03,New Private Cars,Number,10239
Vehicles Licensed for the First Time,2020M04,New Private Cars,Number,1338
Vehicles Licensed for the First Time,2020M05,New Private Cars,Number,1490
Vehicles Licensed for the First Time,2020M06,New Private Cars,Number,2189
Vehicles Licensed for the First Time,2020M07,New Private Cars,Number,15329
Vehicles Licensed for the First Time,2020M08,New Private Cars,Number,7360
Vehicles Licensed for the First Time,2020M09,New Private Cars,Number,5747
Vehicles Licensed for the First Time,2020M10,New Private Cars,Number,4189
Vehicles Licensed for the First Time,2020M11,New Private Cars,Number,1468
Vehicles Licensed for the First Time,2020M12,New Private Cars,Number,1032
Vehicles Licensed for the First Time,2021M01,New Private Cars,Number,16948
