Statistic,Year,Make and Model,UNIT,VALUE
New Private Cars Licensed for the First Time,2021,Lexus UX,Number,65
New Private Cars Licensed for the First Time,2021,Mazda 6,Number,50
New Private Cars Licensed for the First Time,2021,Mazda 2,Number,99
New Private Cars Licensed for the First Time,2021,Mazda 3,Number,240
New Private Cars Licensed for the First Time,2021,Mazda MX-5,Number,11
New Private Cars Licensed for the First Time,2021,Mazda CX-5,Number,305
New Private Cars Licensed for the First Time,2021,Mazda CX-3,Number,12
New Private Cars Licensed for the First Time,2021,Mazda CX-30,Number,325
New Private Cars Licensed for the First Time,2021,Mercedes Benz S Class,Number,98
New Private Cars Licensed for the First Time,2021,Mercedes Benz C Class,Number,102
New Private Cars Licensed for the First Time,2021,Mercedes Benz E Class,Number,838
New Private Cars Licensed for the First Time,2021,Mercedes Benz B Class,Number,27
New Private Cars Licensed for the First Time,2021,Mercedes Benz CLS,Number,46
New Private Cars Licensed for the First Time,2021,Mercedes Benz A Class,Number,345
New Private Cars Licensed for the First Time,2021,Mercedes Benz CLA,Number,394
New Private Cars Licensed for the First Time,2021,Mercedes Benz GLA,Number,306
New Private Cars Licensed for the First Time,2021,Mercedes Benz GLE,Number,92
New Private Cars Licensed for the First Time,2021,Mercedes Benz GLC,Number,401
New Private Cars Licensed for the First Time,2021,Mercedes Benz EQC,Number,21
New Private Cars Licensed for the First Time,2021,Mercedes-Benz GLB,Number,341
New Private Cars Licensed for the First Time,2021,MG ZS EV,Number,247
New Private Cars Licensed for the First Time,2021,Mini,Number,587
New Private Cars Licensed for the First Time,2021,Mitsubishi Lancer,Number,0
New Private Cars Licensed for the First Time,2021,Mitsubishi Spacestar,Number,146
New Private Cars Licensed for the First Time,2021,Mitsubishi Outlander,Number,92
New Private Cars Licensed for the First Time,2021,Mitsubishi ASX,Number,23
New Private Cars Licensed for the First Time,2021,Mitsubishi Eclipse Cross,Number,17
New Private Cars Licensed for the First Time,2021,Nissan Micra,Number,1117
New Private Cars Licensed for the First Time,2021,Nissan Pulsar,Number,1
New Private Cars Licensed for the First Time,2021,Nissan X-Trail,Number,42
New Private Cars Licensed for the First Time,2021,Nissan Note,Number,0
New Private Cars Licensed for the First Time,2021,Nissan Qashqai,Number,1512
New Private Cars Licensed for the First Time,2021,Nissan Juke,Number,1075
New Private Cars Licensed for the First Time,2021,Nissan Leaf,Number,721
New Private Cars Licensed for the First Time,2021,Opel Corsa,Number,844
New Private Cars Licensed for the First Time,2021,Opel Astra,Number,232
New Private Cars Licensed for the First Time,2021,Opel Zafira,Number,5
New Private Cars Licensed for the First Time,2021,Opel Insignia,Number,336
New Private Cars Licensed for the First Time,2021,Opel Mokka X,Number,296
New Private Cars Licensed for the First Time,2021,Opel Adam,Number,0
New Private Cars Licensed for the First Time,2021,Opel Karl,Number,0
New Private Cars Licensed for the First Time,2021,Opel Crossland X,Number,496
New Private Cars Licensed for the First Time,2021,Opel Grandland X,Number,490
New Private Cars Licensed for the First Time,2021,Peugeot 308,Number,40
New Private Cars Licensed for the First Time,2021,Peugeot 3008,Number,1851
New Private Cars Licensed for the First Time,2021,Peugeot 5008,Number,1092
New Private Cars Licensed for the First Time,2021,Peugeot 508,Number,123
New Private Cars Licensed for the First Time,2021,Peugeot 208,Number,559
New Private Cars Licensed for the First Time,2021,Peugeot 2008,Number,1338
New Private Cars Licensed for the First Time,2021,Peugeot 108,Number,13
New Private Cars Licensed for the First Time,2021,Peugeot Rifter,Number,39
New Private Cars Licensed for the First Time,2021,Porsche 911,Number,15
New Private Cars Licensed for the First Time,2021,Porsche Cayenne,Number,48
New Private Cars Licensed for the First Time,2021,Porsche Panamera,Number,15
New Private Cars Licensed for the First Time,2021,Porsche Macan,Number,18
New Private Cars Licensed for the First Time,2021,Renault Clio,Number,1218
New Private Cars Licensed for the First Time,2021,Renault Megane,Number,679
New Private Cars Licensed for the First Time,2021,Renault Scenic,Number,10
New Private Cars Licensed for the First Time,2021,Renault Grand Scenic,Number,149
New Private Cars Licensed for the First Time,2021,Renault Koleos,Number,87
New Private Cars Licensed for the First Time,2021,Renault Fluence,Number,0
New Private Cars Licensed for the First Time,2021,Renault Captur,Number,1093
New Private Cars Licensed for the First Time,2021,Renault Zoe,Number,447
New Private Cars Licensed for the First Time,2021,Renault Kadjar,Number,310
New Private Cars Licensed for the First Time,2021,Renault Arkana,Number,135
New Private Cars Licensed for the First Time,2021,Seat Ibiza,Number,645
New Private Cars Licensed for the First Time,2021,Seat Toledo,Number,0
New Private Cars Licensed for the First Time,2021,Seat Alhambra,Number,114
New Private Cars Licensed for the First Time,2021,Seat Leon,Number,726
New Private Cars Licensed for the First Time,2021,Seat Mii,Number,0
